booking_code,booking_name,booking_type,service_id,duration,unit,staff_unit,sort_order,max_no,reminder,try,booking_code_color_id,color_hexcode,status
1/2 PRI,ONE HALF PRIVATE,,PRI1,30,0.5,0,20,0,,,0,#9fc5e8,Active
10E,10th Turnover Lesson,,PRI1,45,1,0,12,0,,,0,#c27ba0,Active
1E,1st Extension Lesson,,PRI1,45,1,0,2,0,,,0,#ffff00,Active
1ONLN,Online Promo Lesson 1,,PRI1,30,1,0,1,0,,,0,#00ff00,Active
2E,2nd Extension Lesson,,PRI1,45,1,0,3,0,Book Chat,,0,#ffff00,Active
2E Chat,2nd Lesson Chat,,COMM,30,1,0,99,0,,,0,#ffff00,Not Active
2ONLN,Online Promo Lesson 2,,PRI1,30,1,0,1,0,Book Try,,0,#00ff00,Active
3E,3rd Extension Lesson,,PRI1,45,1,0,4,0,Demo,,0,#ffff00,Active
3E Chat,3E Chat,,COMM,30,1,0,100,0,,,0,#ffff00,Not Active
3E DD,3E Dance Demo Teacher,,COMM,30,1,0,99,0,Please be available,,0,#ffff00,Not Active
3E Demo,3E Dance Demo,,COMM,30,1,0,4,0,,,0,#ffd966,Active
4E,4th Extension Lesson,,PRI1,45,1,0,5,0,Book Counselor,,0,#ffff00,Active
5E,5th Turnover Lesson,,PRI1,45,1,0,6,0,,,0,#c27ba0,Active
6E,6th Turnover Lesson,,PRI1,45,1,0,7,0,,,0,#c27ba0,Active
7E,7th Turnover Lesson,,PRI1,45,1,0,8,0,,,0,#c27ba0,Active
8E,8th Turnover Lesson,,PRI1,45,1,0,10,0,Book Turnover Chat,,0,#c27ba0,Active
9E,9th Turnover Lesson,,PRI1,45,1,0,11,0,Book Turnover Chat,,0,#c27ba0,Active
AC,Assist Class,,GEN,45,1,0,99,0,,,0,#a2c4c9,Not Active
Assist Les,Assist Lesson,,COMM,45,1,0,5,0,,,0,#ffff00,Active
ATTEND,Hourly Pay,,GEN,60,1,0,100,0,,,0,#9fc5e8,Not Active
ATWORK,Time In to Time Out,,GEN,60,1,0,100,0,,,0,#9fc5e8,Not Active
AWAY,Abscent,,GEN,60,1,0,76,0,,,0,#b6d7a8,Active
BK,Break,,GEN,15,1,0,25,0,,,0,#6aa84f,Active
C-PRI,COACHING,,PRI4,45,1,0,100,0,,,0,#9fc5e8,Not Active
