"service_id","service_name","counted","chargeable"
"CMP","Contract Complimentary","1","Y"
"COMM","For records only",,"Y"
"GEN","Non-Service",,"N"
"GRP1","Group Lesson",,"Y"
"GRP2","Formation Lesson",,"Y"
"GRP3","Core Rythm","1","Y"
"NCLS","Seminar",,"Y"
"NCMP","Non-paid Complimentary",,"N"
"NONE","Miscellaneous servic","1","N"
"NPRI","Coaching Private",,"Y"
"PCMP","Paid complimentary","1","Y"
"PRI1","Private Lesson","1","Y"
"PRI2","Routine Lesson","1","Y"
"PRI3","Amalgamation Lesson","1","Y"
"PRI4","Time Exchange In","1","Y"
"PRT","Party",,"Y"
